Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,70.000000,8.000000,0.000000,3.000000,1,0,3,0,0,0
0.000000,0.000000,70.000000,8.000000,0.000000,3.000000,1,0,3,0,0,0
0.001000,0.001000,70.000000,8.000001,0.001500,5.000000,1,0,3,0,0,0
0.002000,0.002000,70.000000,8.000003,0.003000,5.000000,1,0,3,0,0,0
0.003000,0.003000,70.000000,8.000006,0.004500,5.000000,1,0,3,0,0,0
0.004000,0.004000,70.000000,8.000010,0.006000,5.000000,1,0,3,0,0,0
0.005000,0.005000,69.999992,8.000017,0.007500,5.000000,1,0,3,0,0,0
0.006000,0.006000,69.999985,8.000025,0.009000,5.000000,1,0,3,0,0,0
0.007000,0.007000,69.999977,8.000032,0.010500,5.000000,1,0,3,0,0,0
0.008000,0.008000,69.999969,8.000039,0.012000,5.000000,1,0,3,0,0,0
0.009000,0.009000,69.999962,8.000047,0.013500,5.000000,1,0,3,0,0,0
0.010000,0.010000,69.999954,8.000059,0.015000,5.000000,1,0,3,0,0,0
0.011000,0.011000,69.999947,8.000072,0.016500,5.000000,1,0,3,0,0,0
0.012000,0.012000,69.999931,8.000085,0.018000,5.000000,1,0,3,0,0,0
0.013000,0.013000,69.999916,8.000097,0.019500,5.000000,1,0,3,0,0,0
0.014000,0.014000,69.999901,8.000110,0.021000,5.000000,1,0,3,0,0,0
0.015000,0.015000,69.999886,8.000125,0.022500,5.000000,1,0,3,0,0,0
0.016000,0.016000,69.999863,8.000139,0.024000,5.000000,1,0,3,0,0,0
0.017000,0.017000,69.999840,8.000154,0.025500,5.000000,1,0,3,0,0,0
0.018000,0.018000,69.999817,8.000169,0.027000,5.000000,1,0,3,0,0,0
0.019000,0.019000,69.999794,8.000188,0.028500,5.000000,1,0,3,0,0,0
0.020000,0.020000,69.999779,8.000212,0.030000,5.000000,1,0,3,0,0,0
0.021000,0.021000,69.999756,8.000231,0.031500,5.000000,1,0,3,0,0,0
0.022000,0.022000,69.999733,8.000251,0.033000,5.000000,1,0,3,0,0,0
0.023000,0.023000,69.999702,8.000272,0.034500,5.000000,1,0,3,0,0,0
0.024000,0.024000,69.999672,8.000290,0.036000,5.000000,1,0,3,0,0,0
0.025000,0.025000,69.999641,8.000313,0.037500,5.000000,1,0,3,0,0,0
0.026000,0.026000,69.999611,8.000340,0.039000,5.000000,1,0,3,0,0,0
0.027000,0.027000,69.999588,8.000371,0.040500,5.000000,1,0,3,0,0,0
0.028000,0.028000,69.999565,8.000407,0.042000,5.000000,1,0,3,0,0,0
0.029000,0.029000,69.999535,8.000440,0.043500,5.000000,1,0,3,0,0,0
0.030000,0.030000,69.999504,8.000474,0.045000,5.000000,1,0,3,0,0,0
0.031000,0.031000,69.999474,8.000509,0.046500,5.000000,1,0,3,0,0,0
0.032000,0.032000,69.999435,8.000535,0.048000,5.000000,1,0,3,0,0,0
0.033000,0.033000,69.999397,8.000565,0.049500,5.000000,1,0,3,0,0,0
0.034000,0.034000,69.999359,8.000594,0.051000,5.000000,1,0,3,0,0,0
0.035000,0.035000,69.999329,8.000637,0.052500,5.000000,1,0,3,0,0,0
0.036000,0.036000,69.999290,8.000678,0.054000,5.000000,1,0,3,0,0,0
0.037000,0.037000,69.999245,8.000710,0.055500,5.000000,1,0,3,0,0,0
0.038000,0.038000,69.999199,8.000739,0.057000,5.000000,1,0,3,0,0,0
0.039000,0.039000,69.999153,8.000772,0.058500,5.000000,1,0,3,0,0,0
0.040000,0.040000,69.999107,8.000812,0.060000,5.000000,1,0,3,0,0,0
0.041000,0.041000,69.999062,8.000855,0.061500,5.000000,1,0,3,0,0,0
0.042000,0.042000,69.999016,8.000902,0.063000,5.000000,1,0,3,0,0,0
0.043000,0.043000,69.998978,8.000952,0.064500,5.000000,1,0,3,0,0,0
0.044000,0.044000,69.998940,8.001003,0.066000,5.000000,1,0,3,0,0,0
0.045000,0.045000,69.998894,8.001053,0.067500,5.000000,1,0,3,0,0,0
0.046000,0.046000,69.998840,8.001092,0.069000,5.000000,1,0,3,0,0,0
0.047000,0.047000,69.998795,8.001147,0.070500,5.000000,1,0,3,0,0,0
0.048000,0.048000,69.998749,8.001200,0.072000,5.000000,1,0,3,0,0,0
0.049000,0.049000,69.998711,8.001261,0.073500,5.000000,1,0,3,0,0,0
