Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,65.000000,14.000000,0.000000,5.000000,1,0,4,0,1,0
0.001000,0.001000,65.000000,14.000001,0.001500,5.000000,1,0,4,0,1,0
0.002000,0.002000,65.000000,14.000003,0.003000,5.000000,1,0,4,0,1,0
0.003000,0.003000,65.000000,14.000007,0.004500,5.000000,1,0,4,0,1,0
0.004000,0.004000,64.999992,14.000010,0.006000,5.000000,1,0,4,0,1,0
0.005000,0.005000,64.999985,14.000016,0.007500,5.000000,1,0,4,0,1,0
0.006000,0.006000,64.999977,14.000023,0.009000,5.000000,1,0,4,0,1,0
0.007000,0.007000,64.999969,14.000029,0.010500,5.000000,1,0,4,0,1,0
0.008000,0.008000,64.999962,14.000039,0.012000,5.000000,1,0,4,0,1,0
0.009000,0.009000,64.999954,14.000051,0.013500,5.000000,1,0,4,0,1,0
0.010000,0.010000,64.999939,14.000059,0.015000,5.000000,1,0,4,0,1,0
0.011000,0.011000,64.999924,14.000068,0.016500,5.000000,1,0,4,0,1,0
0.012000,0.012000,64.999908,14.000078,0.018000,5.000000,1,0,4,0,1,0
0.013000,0.013000,64.999893,14.000091,0.019500,5.000000,1,0,4,0,1,0
0.014000,0.014000,64.999878,14.000103,0.021000,5.000000,1,0,4,0,1,0
0.015000,0.015000,64.999863,14.000115,0.022500,5.000000,1,0,4,0,1,0
0.016000,0.016000,64.999847,14.000130,0.024000,5.000000,1,0,4,0,1,0
0.017000,0.017000,64.999825,14.000145,0.025500,5.000000,1,0,4,0,1,0
0.018000,0.018000,64.999802,14.000164,0.027000,5.000000,1,0,4,0,1,0
0.019000,0.019000,64.999779,14.000179,0.028500,5.000000,1,0,4,0,1,0
0.020000,0.020000,64.999763,14.000202,0.030000,5.000000,1,0,4,0,1,0
0.021000,0.021000,64.999741,14.000221,0.031500,5.000000,1,0,4,0,1,0
0.022000,0.022000,64.999725,14.000248,0.033000,5.000000,1,0,4,0,1,0
0.023000,0.023000,64.999695,14.000270,0.034500,5.000000,1,0,4,0,1,0
0.024000,0.024000,64.999672,14.000297,0.036000,5.000000,1,0,4,0,1,0
0.025000,0.025000,64.999649,14.000326,0.037500,5.000000,1,0,4,0,1,0
0.026000,0.026000,64.999626,14.000356,0.039000,5.000000,1,0,4,0,1,0
0.027000,0.027000,64.999596,14.000386,0.040500,5.000000,1,0,4,0,1,0
0.028000,0.028000,64.999573,14.000422,0.042000,5.000000,1,0,4,0,1,0
0.029000,0.029000,64.999542,14.000451,0.043500,5.000000,1,0,4,0,1,0
0.030000,0.030000,64.999504,14.000480,0.045000,5.000000,1,0,4,0,1,0
0.031000,0.031000,64.999466,14.000506,0.046500,5.000000,1,0,4,0,1,0
0.032000,0.032000,64.999428,14.000531,0.048000,5.000000,1,0,4,0,1,0
0.033000,0.033000,64.999390,14.000562,0.049500,5.000000,1,0,4,0,1,0
0.034000,0.034000,64.999359,14.000603,0.051000,5.000000,1,0,4,0,1,0
0.035000,0.035000,64.999329,14.000643,0.052500,5.000000,1,0,4,0,1,0
0.036000,0.036000,64.999283,14.000670,0.054000,5.000000,1,0,4,0,1,0
0.037000,0.037000,64.999237,14.000702,0.055500,5.000000,1,0,4,0,1,0
0.038000,0.038000,64.999191,14.000731,0.057000,5.000000,1,0,4,0,1,0
0.039000,0.039000,64.999146,14.000772,0.058500,5.000000,1,0,4,0,1,0
0.040000,0.040000,64.999100,14.000806,0.060000,5.000000,1,0,4,0,1,0
0.041000,0.041000,64.999062,14.000856,0.061500,5.000000,1,0,4,0,1,0
0.042000,0.042000,64.999023,14.000907,0.063000,5.000000,1,0,4,0,1,0
0.043000,0.043000,64.998978,14.000950,0.064500,5.000000,1,0,4,0,1,0
0.044000,0.044000,64.998924,14.000992,0.066000,5.000000,1,0,4,0,1,0
0.045000,0.045000,64.998871,14.001035,0.067500,5.000000,1,0,4,0,1,0
0.046000,0.046000,64.998810,14.001072,0.069000,5.000000,1,0,4,0,1,0
0.047000,0.047000,64.998764,14.001128,0.070500,5.000000,1,0,4,0,1,0
0.048000,0.048000,64.998718,14.001183,0.072000,5.000000,1,0,4,0,1,0
0.049000,0.049000,64.998657,14.001225,0.073500,5.000000,1,0,4,0,1,0
0.050000,0.050000,64.998596,14.001267,0.075000,5.000000,1,0,4,0,1,0
0.051000,0.051000,64.998550,14.001327,0.076500,5.000000,1,0,4,0,1,0
0.052000,0.052000,64.998497,14.001381,0.078000,5.000000,1,0,4,0,1,0
0.053000,0.053000,64.998451,14.001447,0.079500,5.000000,1,0,4,0,1,0
0.054000,0.054000,64.998405,14.001512,0.081000,5.000000,1,0,4,0,1,0
0.055000,0.055000,64.998360,14.001578,0.082500,5.000000,1,0,4,0,1,0
0.056000,0.056000,64.998291,14.001631,0.084000,5.000000,1,0,4,0,1,0
0.057000,0.057000,64.998230,14.001692,0.085500,5.000000,1,0,4,0,1,0
0.058000,0.058000,64.998154,14.001738,0.087000,5.000000,1,0,4,0,1,0
0.059000,0.059000,64.998085,14.001792,0.088500,5.000000,1,0,4,0,1,0
0.060000,0.060000,64.998016,14.001847,0.090000,5.000000,1,0,4,0,1,0
0.061000,0.061000,64.997948,14.001904,0.091500,5.000000,1,0,4,0,1,0
0.062000,0.062000,64.997871,14.001954,0.093000,5.000000,1,0,4,0,1,0
0.063000,0.063000,64.997787,14.002002,0.094500,5.000000,1,0,4,0,1,0
0.064000,0.064000,64.997704,14.002054,0.096000,5.000000,1,0,4,0,1,0
0.065000,0.065000,64.997650,14.002136,0.097500,5.000000,1,0,4,0,1,0
0.066000,0.066000,64.997589,14.002214,0.099000,5.000000,1,0,4,0,1,0
0.067000,0.067000,64.997505,14.002275,0.100500,5.000000,1,0,4,0,1,0
0.068000,0.068000,64.997452,14.002361,0.102000,5.000000,1,0,4,0,1,0
0.069000,0.069000,64.997368,14.002420,0.103500,5.000000,1,0,4,0,1,0
0.070000,0.070000,64.997284,14.002481,0.105000,5.000000,1,0,4,0,1,0
0.071000,0.071000,64.997200,14.002550,0.106500,5.000000,1,0,4,0,1,0
0.072000,0.072000,64.997116,14.002620,0.108000,5.000000,1,0,4,0,1,0
0.073000,0.073000,64.997025,14.002678,0.109500,5.000000,1,0,4,0,1,0
0.074000,0.074000,64.996941,14.002749,0.111000,5.000000,1,0,4,0,1,0
0.075000,0.075000,64.996849,14.002819,0.112500,5.000000,1,0,4,0,1,0
0.076000,0.076000,64.996788,14.002916,0.114000,5.000000,1,0,4,0,1,0
0.077000,0.077000,64.996712,14.003006,0.115500,5.000000,1,0,4,0,1,0
0.078000,0.078000,64.996635,14.003093,0.117000,5.000000,1,0,4,0,1,0
0.079000,0.079000,64.996544,14.003165,0.118500,5.000000,1,0,4,0,1,0
0.080000,0.080000,64.996468,14.003256,0.120000,5.000000,1,0,4,0,1,0
0.081000,0.081000,64.996376,14.003339,0.121500,5.000000,1,0,4,0,1,0
0.082000,0.082000,64.996269,14.003400,0.123000,5.000000,1,0,4,0,1,0
0.083000,0.083000,64.996162,14.003466,0.124500,5.000000,1,0,4,0,1,0
0.084000,0.084000,64.996063,14.003543,0.126000,5.000000,1,0,4,0,1,0
0.085000,0.085000,64.995964,14.003627,0.127500,5.000000,1,0,4,0,1,0
0.086000,0.086000,64.995895,14.003736,0.129000,5.000000,1,0,4,0,1,0
0.087000,0.087000,64.995789,14.003811,0.130500,5.000000,1,0,4,0,1,0
0.088000,0.088000,64.995689,14.003900,0.132000,5.000000,1,0,4,0,1,0
0.089000,0.089000,64.995590,14.003989,0.133500,5.000000,1,0,4,0,1,0
0.090000,0.090000,64.995499,14.004089,0.135000,5.000000,1,0,4,0,1,0
