Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,55.000000,7.000000,0.000000,13.500000,1,0,2,0,1,0
0.001000,0.001000,55.000000,7.000001,0.001500,5.000000,1,0,2,0,1,0
0.002000,0.002000,55.000000,7.000003,0.003000,5.000000,1,0,2,0,1,0
0.003000,0.003000,54.999996,7.000007,0.004500,5.000000,1,0,2,0,1,0
0.004000,0.004000,54.999992,7.000012,0.006000,5.000000,1,0,2,0,1,0
0.005000,0.005000,54.999989,7.000017,0.007500,5.000000,1,0,2,0,1,0
0.006000,0.006000,54.999985,7.000024,0.009000,5.000000,1,0,2,0,1,0
0.007000,0.007000,54.999977,7.000032,0.010500,5.000000,1,0,2,0,1,0
0.008000,0.008000,54.999969,7.000041,0.012000,5.000000,1,0,2,0,1,0
0.009000,0.009000,54.999962,7.000052,0.013500,5.000000,1,0,2,0,1,0
0.010000,0.010000,54.999950,7.000062,0.015000,5.000000,1,0,2,0,1,0
0.011000,0.011000,54.999939,7.000075,0.016500,5.000000,1,0,2,0,1,0
0.012000,0.012000,54.999928,7.000088,0.018000,5.000000,1,0,2,0,1,0
0.013000,0.013000,54.999916,7.000104,0.019500,5.000000,1,0,2,0,1,0
0.014000,0.014000,54.999897,7.000115,0.021000,5.000000,1,0,2,0,1,0
0.015000,0.015000,54.999882,7.000134,0.022500,5.000000,1,0,2,0,1,0
0.016000,0.016000,54.999863,7.000147,0.024000,5.000000,1,0,2,0,1,0
0.017000,0.017000,54.999851,7.000169,0.025500,5.000000,1,0,2,0,1,0
0.018000,0.018000,54.999828,7.000184,0.027000,5.000000,1,0,2,0,1,0
0.019000,0.019000,54.999805,7.000200,0.028500,5.000000,1,0,2,0,1,0
0.020000,0.020000,54.999783,7.000219,0.030000,5.000000,1,0,2,0,1,0
0.021000,0.021000,54.999763,7.000243,0.031500,5.000000,1,0,2,0,1,0
0.022000,0.022000,54.999741,7.000266,0.033000,5.000000,1,0,2,0,1,0
0.023000,0.023000,54.999722,7.000296,0.034500,5.000000,1,0,2,0,1,0
0.024000,0.024000,54.999702,7.000325,0.036000,5.000000,1,0,2,0,1,0
0.025000,0.025000,54.999676,7.000350,0.037500,5.000000,1,0,2,0,1,0
0.026000,0.026000,54.999641,7.000372,0.039000,5.000000,1,0,2,0,1,0
0.027000,0.027000,54.999615,7.000403,0.040500,5.000000,1,0,2,0,1,0
0.028000,0.028000,54.999584,7.000433,0.042000,5.000000,1,0,2,0,1,0
0.029000,0.029000,54.999550,7.000458,0.043500,5.000000,1,0,2,0,1,0
0.030000,0.030000,54.999512,7.000481,0.045000,5.000000,1,0,2,0,1,0
0.031000,0.031000,54.999477,7.000514,0.046500,5.000000,1,0,2,0,1,0
0.032000,0.032000,54.999451,7.000553,0.048000,5.000000,1,0,2,0,1,0
0.033000,0.033000,54.999424,7.000594,0.049500,5.000000,1,0,2,0,1,0
0.034000,0.034000,54.999390,7.000633,0.051000,5.000000,1,0,2,0,1,0
0.035000,0.035000,54.999348,7.000667,0.052500,5.000000,1,0,2,0,1,0
0.036000,0.036000,54.999310,7.000704,0.054000,5.000000,1,0,2,0,1,0
0.037000,0.037000,54.999271,7.000745,0.055500,5.000000,1,0,2,0,1,0
0.038000,0.038000,54.999222,7.000775,0.057000,5.000000,1,0,2,0,1,0
0.039000,0.039000,54.999187,7.000823,0.058500,5.000000,1,0,2,0,1,0
0.040000,0.040000,54.999157,7.000874,0.060000,5.000000,1,0,2,0,1,0
0.041000,0.041000,54.999119,7.000922,0.061500,5.000000,1,0,2,0,1,0
0.042000,0.042000,54.999077,7.000970,0.063000,5.000000,1,0,2,0,1,0
0.043000,0.043000,54.999027,7.001012,0.064500,5.000000,1,0,2,0,1,0
0.044000,0.044000,54.998981,7.001060,0.066000,5.000000,1,0,2,0,1,0
