Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,51.000000,11.000000,0.000000,3.000000,1,0,4,0,0,0
0.000000,0.000000,51.000000,11.000000,0.000000,3.000000,1,0,4,0,0,0
0.001000,0.001000,51.000000,11.000001,0.001500,5.000000,1,0,4,0,0,0
0.002000,0.002000,50.999996,11.000003,0.003000,5.000000,1,0,4,0,0,0
0.003000,0.003000,50.999992,11.000007,0.004500,5.000000,1,0,4,0,0,0
0.004000,0.004000,50.999989,11.000011,0.006000,5.000000,1,0,4,0,0,0
0.005000,0.005000,50.999985,11.000016,0.007500,5.000000,1,0,4,0,0,0
0.006000,0.006000,50.999981,11.000024,0.009000,5.000000,1,0,4,0,0,0
0.007000,0.007000,50.999973,11.000032,0.010500,5.000000,1,0,4,0,0,0
0.008000,0.008000,50.999962,11.000040,0.012000,5.000000,1,0,4,0,0,0
0.009000,0.009000,50.999950,11.000048,0.013500,5.000000,1,0,4,0,0,0
0.010000,0.010000,50.999939,11.000056,0.015000,5.000000,1,0,4,0,0,0
0.011000,0.011000,50.999931,11.000071,0.016500,5.000000,1,0,4,0,0,0
0.012000,0.012000,50.999920,11.000086,0.018000,5.000000,1,0,4,0,0,0
0.013000,0.013000,50.999908,11.000102,0.019500,5.000000,1,0,4,0,0,0
0.014000,0.014000,50.999889,11.000113,0.021000,5.000000,1,0,4,0,0,0
0.015000,0.015000,50.999870,11.000128,0.022500,5.000000,1,0,4,0,0,0
0.016000,0.016000,50.999855,11.000148,0.024000,5.000000,1,0,4,0,0,0
0.017000,0.017000,50.999840,11.000167,0.025500,5.000000,1,0,4,0,0,0
0.018000,0.018000,50.999817,11.000181,0.027000,5.000000,1,0,4,0,0,0
0.019000,0.019000,50.999794,11.000198,0.028500,5.000000,1,0,4,0,0,0
0.020000,0.020000,50.999775,11.000222,0.030000,5.000000,1,0,4,0,0,0
0.021000,0.021000,50.999756,11.000246,0.031500,5.000000,1,0,4,0,0,0
0.022000,0.022000,50.999737,11.000274,0.033000,5.000000,1,0,4,0,0,0
0.023000,0.023000,50.999710,11.000298,0.034500,5.000000,1,0,4,0,0,0
0.024000,0.024000,50.999683,11.000323,0.036000,5.000000,1,0,4,0,0,0
0.025000,0.025000,50.999653,11.000343,0.037500,5.000000,1,0,4,0,0,0
0.026000,0.026000,50.999630,11.000375,0.039000,5.000000,1,0,4,0,0,0
0.027000,0.027000,50.999603,11.000404,0.040500,5.000000,1,0,4,0,0,0
0.028000,0.028000,50.999569,11.000426,0.042000,5.000000,1,0,4,0,0,0
0.029000,0.029000,50.999542,11.000459,0.043500,5.000000,1,0,4,0,0,0
0.030000,0.030000,50.999508,11.000487,0.045000,5.000000,1,0,4,0,0,0
0.031000,0.031000,50.999485,11.000526,0.046500,5.000000,1,0,4,0,0,0
0.032000,0.032000,50.999454,11.000564,0.048000,5.000000,1,0,4,0,0,0
0.033000,0.033000,50.999420,11.000601,0.049500,5.000000,1,0,4,0,0,0
0.034000,0.034000,50.999393,11.000643,0.051000,5.000000,1,0,4,0,0,0
0.035000,0.035000,50.999348,11.000669,0.052500,5.000000,1,0,4,0,0,0
0.036000,0.036000,50.999321,11.000716,0.054000,5.000000,1,0,4,0,0,0
0.037000,0.037000,50.999275,11.000748,0.055500,5.000000,1,0,4,0,0,0
0.038000,0.038000,50.999233,11.000788,0.057000,5.000000,1,0,4,0,0,0
0.039000,0.039000,50.999199,11.000835,0.058500,5.000000,1,0,4,0,0,0
0.040000,0.040000,50.999165,11.000883,0.060000,5.000000,1,0,4,0,0,0
0.041000,0.041000,50.999111,11.000916,0.061500,5.000000,1,0,4,0,0,0
0.042000,0.042000,50.999065,11.000958,0.063000,5.000000,1,0,4,0,0,0
0.043000,0.043000,50.999031,11.001014,0.064500,5.000000,1,0,4,0,0,0
0.044000,0.044000,50.998985,11.001061,0.066000,5.000000,1,0,4,0,0,0
0.045000,0.045000,50.998932,11.001104,0.067500,5.000000,1,0,4,0,0,0
0.046000,0.046000,50.998890,11.001158,0.069000,5.000000,1,0,4,0,0,0
0.047000,0.047000,50.998837,11.001205,0.070500,5.000000,1,0,4,0,0,0
0.048000,0.048000,50.998787,11.001258,0.072000,5.000000,1,0,4,0,0,0
0.049000,0.049000,50.998737,11.001312,0.073500,5.000000,1,0,4,0,0,0
0.050000,0.050000,50.998688,11.001368,0.075000,5.000000,1,0,4,0,0,0
0.051000,0.051000,50.998623,11.001410,0.076500,5.000000,1,0,4,0,0,0
0.052000,0.052000,50.998573,11.001471,0.078000,5.000000,1,0,4,0,0,0
0.053000,0.053000,50.998508,11.001517,0.079500,5.000000,1,0,4,0,0,0
0.054000,0.054000,50.998447,11.001572,0.081000,5.000000,1,0,4,0,0,0
0.055000,0.055000,50.998386,11.001627,0.082500,5.000000,1,0,4,0,0,0
0.056000,0.056000,50.998333,11.001691,0.084000,5.000000,1,0,4,0,0,0
0.057000,0.057000,50.998272,11.001750,0.085500,5.000000,1,0,4,0,0,0
0.058000,0.058000,50.998226,11.001823,0.087000,5.000000,1,0,4,0,0,0
0.059000,0.059000,50.998158,11.001878,0.088500,5.000000,1,0,4,0,0,0
0.060000,0.060000,50.998085,11.001932,0.090000,5.000000,1,0,4,0,0,0
0.061000,0.061000,50.998009,11.001981,0.091500,5.000000,1,0,4,0,0,0
0.062000,0.062000,50.997948,11.002049,0.093000,5.000000,1,0,4,0,0,0
0.063000,0.063000,50.997868,11.002098,0.094500,5.000000,1,0,4,0,0,0
0.064000,0.064000,50.997791,11.002158,0.096000,5.000000,1,0,4,0,0,0
0.065000,0.065000,50.997726,11.002231,0.097500,5.000000,1,0,4,0,0,0
0.066000,0.066000,50.997665,11.002309,0.099000,5.000000,1,0,4,0,0,0
0.067000,0.067000,50.997612,11.002394,0.100500,5.000000,1,0,4,0,0,0
0.068000,0.068000,50.997536,11.002463,0.102000,5.000000,1,0,4,0,0,0
0.069000,0.069000,50.997478,11.002550,0.103500,5.000000,1,0,4,0,0,0
0.070000,0.070000,50.997421,11.002638,0.105000,5.000000,1,0,4,0,0,0
0.071000,0.071000,50.997356,11.002723,0.106500,5.000000,1,0,4,0,0,0
0.072000,0.072000,50.997295,11.002812,0.108000,5.000000,1,0,4,0,0,0
0.073000,0.073000,50.997215,11.002886,0.109500,5.000000,1,0,4,0,0,0
0.074000,0.074000,50.997154,11.002977,0.111000,5.000000,1,0,4,0,0,0
