Time,TimeOfDay,x,y,velocity,speedLimit,lane,direction,route,subroute,CrashAttempt,Accident
0.000000,0.000000,56.000000,9.000000,0.000000,13.500000,1,0,4,0,1,0
0.001000,0.001000,56.000000,9.000001,0.001500,5.000000,1,0,4,0,1,0
0.002000,0.002000,56.000000,9.000004,0.003000,5.000000,1,0,4,0,1,0
0.003000,0.003000,55.999996,9.000007,0.004500,5.000000,1,0,4,0,1,0
0.004000,0.004000,55.999992,9.000011,0.006000,5.000000,1,0,4,0,1,0
0.005000,0.005000,55.999989,9.000017,0.007500,5.000000,1,0,4,0,1,0
0.006000,0.006000,55.999985,9.000024,0.009000,5.000000,1,0,4,0,1,0
0.007000,0.007000,55.999977,9.000031,0.010500,5.000000,1,0,4,0,1,0
0.008000,0.008000,55.999969,9.000040,0.012000,5.000000,1,0,4,0,1,0
0.009000,0.009000,55.999962,9.000050,0.013500,5.000000,1,0,4,0,1,0
0.010000,0.010000,55.999950,9.000060,0.015000,5.000000,1,0,4,0,1,0
0.011000,0.011000,55.999939,9.000073,0.016500,5.000000,1,0,4,0,1,0
0.012000,0.012000,55.999924,9.000085,0.018000,5.000000,1,0,4,0,1,0
0.013000,0.013000,55.999912,9.000100,0.019500,5.000000,1,0,4,0,1,0
0.014000,0.014000,55.999901,9.000118,0.021000,5.000000,1,0,4,0,1,0
0.015000,0.015000,55.999889,9.000137,0.022500,5.000000,1,0,4,0,1,0
0.016000,0.016000,55.999870,9.000154,0.024000,5.000000,1,0,4,0,1,0
0.017000,0.017000,55.999855,9.000174,0.025500,5.000000,1,0,4,0,1,0
0.018000,0.018000,55.999836,9.000193,0.027000,5.000000,1,0,4,0,1,0
0.019000,0.019000,55.999817,9.000213,0.028500,5.000000,1,0,4,0,1,0
0.020000,0.020000,55.999798,9.000235,0.030000,5.000000,1,0,4,0,1,0
0.021000,0.021000,55.999775,9.000256,0.031500,5.000000,1,0,4,0,1,0
0.022000,0.022000,55.999748,9.000277,0.033000,5.000000,1,0,4,0,1,0
0.023000,0.023000,55.999725,9.000301,0.034500,5.000000,1,0,4,0,1,0
0.024000,0.024000,55.999706,9.000332,0.036000,5.000000,1,0,4,0,1,0
0.025000,0.025000,55.999683,9.000361,0.037500,5.000000,1,0,4,0,1,0
0.026000,0.026000,55.999657,9.000390,0.039000,5.000000,1,0,4,0,1,0
0.027000,0.027000,55.999626,9.000417,0.040500,5.000000,1,0,4,0,1,0
0.028000,0.028000,55.999596,9.000445,0.042000,5.000000,1,0,4,0,1,0
0.029000,0.029000,55.999561,9.000473,0.043500,5.000000,1,0,4,0,1,0
0.030000,0.030000,55.999538,9.000511,0.045000,5.000000,1,0,4,0,1,0
0.031000,0.031000,55.999516,9.000551,0.046500,5.000000,1,0,4,0,1,0
0.032000,0.032000,55.999481,9.000587,0.048000,5.000000,1,0,4,0,1,0
0.033000,0.033000,55.999451,9.000626,0.049500,5.000000,1,0,4,0,1,0
0.034000,0.034000,55.999416,9.000664,0.051000,5.000000,1,0,4,0,1,0
0.035000,0.035000,55.999386,9.000707,0.052500,5.000000,1,0,4,0,1,0
0.036000,0.036000,55.999352,9.000749,0.054000,5.000000,1,0,4,0,1,0
0.037000,0.037000,55.999302,9.000776,0.055500,5.000000,1,0,4,0,1,0
0.038000,0.038000,55.999268,9.000822,0.057000,5.000000,1,0,4,0,1,0
0.039000,0.039000,55.999229,9.000865,0.058500,5.000000,1,0,4,0,1,0
0.040000,0.040000,55.999184,9.000904,0.060000,5.000000,1,0,4,0,1,0
0.041000,0.041000,55.999149,9.000957,0.061500,5.000000,1,0,4,0,1,0
0.042000,0.042000,55.999107,9.001002,0.063000,5.000000,1,0,4,0,1,0
0.043000,0.043000,55.999065,9.001051,0.064500,5.000000,1,0,4,0,1,0
0.044000,0.044000,55.999031,9.001107,0.066000,5.000000,1,0,4,0,1,0
0.045000,0.045000,55.998978,9.001146,0.067500,5.000000,1,0,4,0,1,0
0.046000,0.046000,55.998928,9.001192,0.069000,5.000000,1,0,4,0,1,0
0.047000,0.047000,55.998875,9.001238,0.070500,5.000000,1,0,4,0,1,0
0.048000,0.048000,55.998825,9.001289,0.072000,5.000000,1,0,4,0,1,0
0.049000,0.049000,55.998772,9.001341,0.073500,5.000000,1,0,4,0,1,0
0.050000,0.050000,55.998726,9.001402,0.075000,5.000000,1,0,4,0,1,0
0.051000,0.051000,55.998680,9.001465,0.076500,5.000000,1,0,4,0,1,0
0.052000,0.052000,55.998619,9.001515,0.078000,5.000000,1,0,4,0,1,0
0.053000,0.053000,55.998566,9.001574,0.079500,5.000000,1,0,4,0,1,0
0.054000,0.054000,55.998497,9.001618,0.081000,5.000000,1,0,4,0,1,0
0.055000,0.055000,55.998444,9.001679,0.082500,5.000000,1,0,4,0,1,0
0.056000,0.056000,55.998375,9.001729,0.084000,5.000000,1,0,4,0,1,0
0.057000,0.057000,55.998329,9.001802,0.085500,5.000000,1,0,4,0,1,0
0.058000,0.058000,55.998257,9.001850,0.087000,5.000000,1,0,4,0,1,0
0.059000,0.059000,55.998184,9.001904,0.088500,5.000000,1,0,4,0,1,0
0.060000,0.060000,55.998131,9.001975,0.090000,5.000000,1,0,4,0,1,0
0.061000,0.061000,55.998055,9.002028,0.091500,5.000000,1,0,4,0,1,0
0.062000,0.062000,55.997982,9.002085,0.093000,5.000000,1,0,4,0,1,0
0.063000,0.063000,55.997917,9.002155,0.094500,5.000000,1,0,4,0,1,0
0.064000,0.064000,55.997849,9.002221,0.096000,5.000000,1,0,4,0,1,0
0.065000,0.065000,55.997787,9.002296,0.097500,5.000000,1,0,4,0,1,0
0.066000,0.066000,55.997719,9.002366,0.099000,5.000000,1,0,4,0,1,0
0.067000,0.067000,55.997646,9.002438,0.100500,5.000000,1,0,4,0,1,0
0.068000,0.068000,55.997570,9.002507,0.102000,5.000000,1,0,4,0,1,0
0.069000,0.069000,55.997505,9.002587,0.103500,5.000000,1,0,4,0,1,0
0.070000,0.070000,55.997437,9.002667,0.105000,5.000000,1,0,4,0,1,0
0.071000,0.071000,55.997353,9.002734,0.106500,5.000000,1,0,4,0,1,0
0.072000,0.072000,55.997269,9.002804,0.108000,5.000000,1,0,4,0,1,0
0.073000,0.073000,55.997177,9.002865,0.109500,5.000000,1,0,4,0,1,0
0.074000,0.074000,55.997093,9.002937,0.111000,5.000000,1,0,4,0,1,0
0.075000,0.075000,55.997036,9.003034,0.112500,5.000000,1,0,4,0,1,0
0.076000,0.076000,55.996944,9.003102,0.114000,5.000000,1,0,4,0,1,0
0.077000,0.077000,55.996845,9.003163,0.115500,5.000000,1,0,4,0,1,0
0.078000,0.078000,55.996761,9.003244,0.117000,5.000000,1,0,4,0,1,0
0.079000,0.079000,55.996658,9.003305,0.118500,5.000000,1,0,4,0,1,0
0.080000,0.080000,55.996578,9.003393,0.120000,5.000000,1,0,4,0,1,0
0.081000,0.081000,55.996498,9.003484,0.121500,5.000000,1,0,4,0,1,0
0.082000,0.082000,55.996395,9.003549,0.123000,5.000000,1,0,4,0,1,0
0.083000,0.083000,55.996315,9.003643,0.124500,5.000000,1,0,4,0,1,0
0.084000,0.084000,55.996231,9.003738,0.126000,5.000000,1,0,4,0,1,0
0.085000,0.085000,55.996143,9.003830,0.127500,5.000000,1,0,4,0,1,0
0.086000,0.086000,55.996037,9.003901,0.129000,5.000000,1,0,4,0,1,0
0.087000,0.087000,55.995968,9.004012,0.130500,5.000000,1,0,4,0,1,0
0.088000,0.088000,55.995895,9.004123,0.132000,5.000000,1,0,4,0,1,0
0.089000,0.089000,55.995792,9.004209,0.133500,5.000000,1,0,4,0,1,0
0.090000,0.090000,55.995720,9.004323,0.135000,5.000000,1,0,4,0,1,0
0.091000,0.091000,55.995647,9.004437,0.136500,5.000000,1,0,4,0,1,0
0.092000,0.092000,55.995575,9.004556,0.138000,5.000000,1,0,4,0,1,0
0.093000,0.093000,55.995461,9.004634,0.139500,5.000000,1,0,4,0,1,0
0.094000,0.094000,55.995346,9.004715,0.141000,5.000000,1,0,4,0,1,0
0.095000,0.095000,55.995247,9.004817,0.142500,5.000000,1,0,4,0,1,0
0.096000,0.096000,55.995140,9.004913,0.144000,5.000000,1,0,4,0,1,0
0.097000,0.097000,55.995041,9.005018,0.145500,5.000000,1,0,4,0,1,0
0.098000,0.098000,55.994949,9.005134,0.147000,5.000000,1,0,4,0,1,0
0.099000,0.099000,55.994858,9.005249,0.148500,5.000000,1,0,4,0,1,0
0.100000,0.100000,55.994781,9.005378,0.150000,5.000000,1,0,4,0,1,0
0.101000,0.101000,55.994686,9.005495,0.151500,5.000000,1,0,4,0,1,0
0.102000,0.102000,55.994602,9.005622,0.153000,5.000000,1,0,4,0,1,0
0.103000,0.103000,55.994469,9.005699,0.154500,5.000000,1,0,4,0,1,0
0.104000,0.104000,55.994343,9.005793,0.156000,5.000000,1,0,4,0,1,0
0.105000,0.105000,55.994217,9.005887,0.157500,5.000000,1,0,4,0,1,0
0.106000,0.106000,55.994083,9.005976,0.159000,5.000000,1,0,4,0,1,0
0.107000,0.107000,55.993988,9.006105,0.160500,5.000000,1,0,4,0,1,0
0.108000,0.108000,55.993900,9.006241,0.162000,5.000000,1,0,4,0,1,0
0.109000,0.109000,55.993759,9.006323,0.163500,5.000000,1,0,4,0,1,0
0.110000,0.110000,55.993649,9.006446,0.165000,5.000000,1,0,4,0,1,0
0.111000,0.111000,55.993534,9.006566,0.166500,5.000000,1,0,4,0,1,0
0.112000,0.112000,55.993412,9.006680,0.168000,5.000000,1,0,4,0,1,0
0.113000,0.113000,55.993294,9.006801,0.169500,5.000000,1,0,4,0,1,0
0.114000,0.114000,55.993206,9.006948,0.171000,5.000000,1,0,4,0,1,0
0.115000,0.115000,55.993088,9.007071,0.172500,5.000000,1,0,4,0,1,0
0.116000,0.116000,55.992947,9.007174,0.174000,5.000000,1,0,4,0,1,0
0.117000,0.117000,55.992840,9.007312,0.175500,5.000000,1,0,4,0,1,0
0.118000,0.118000,55.992710,9.007430,0.177000,5.000000,1,0,4,0,1,0
0.119000,0.119000,55.992558,9.007522,0.178500,5.000000,1,0,4,0,1,0
0.120000,0.120000,55.992435,9.007653,0.180000,5.000000,1,0,4,0,1,0
0.121000,0.121000,55.992313,9.007786,0.181500,5.000000,1,0,4,0,1,0
0.122000,0.122000,55.992165,9.007894,0.183000,5.000000,1,0,4,0,1,0
0.123000,0.123000,55.992008,9.007989,0.184500,5.000000,1,0,4,0,1,0
0.124000,0.124000,55.991852,9.008087,0.186000,5.000000,1,0,4,0,1,0
0.125000,0.125000,55.991749,9.008245,0.187500,5.000000,1,0,4,0,1,0
0.126000,0.126000,55.991604,9.008366,0.189000,5.000000,1,0,4,0,1,0
0.127000,0.127000,55.991486,9.008513,0.190500,5.000000,1,0,4,0,1,0
0.128000,0.128000,55.991333,9.008629,0.192000,5.000000,1,0,4,0,1,0
0.129000,0.129000,55.991207,9.008777,0.193500,5.000000,1,0,4,0,1,0
0.130000,0.130000,55.991096,9.008939,0.195000,5.000000,1,0,4,0,1,0
0.131000,0.131000,55.990986,9.009102,0.196500,5.000000,1,0,4,0,1,0
0.132000,0.132000,55.990879,9.009270,0.198000,5.000000,1,0,4,0,1,0
0.133000,0.133000,55.990730,9.009400,0.199500,5.000000,1,0,4,0,1,0
0.134000,0.134000,55.990616,9.009565,0.201000,5.000000,1,0,4,0,1,0
0.135000,0.135000,55.990471,9.009708,0.202500,5.000000,1,0,4,0,1,0
0.136000,0.136000,55.990326,9.009851,0.204000,5.000000,1,0,4,0,1,0
0.137000,0.137000,55.990166,9.009980,0.205500,5.000000,1,0,4,0,1,0
0.138000,0.138000,55.989998,9.010102,0.207000,5.000000,1,0,4,0,1,0
0.139000,0.139000,55.989849,9.010250,0.208500,5.000000,1,0,4,0,1,0
0.140000,0.140000,55.989693,9.010390,0.210000,5.000000,1,0,4,0,1,0
0.141000,0.141000,55.989536,9.010534,0.211500,5.000000,1,0,4,0,1,0
0.142000,0.142000,55.989391,9.010690,0.213000,5.000000,1,0,4,0,1,0
0.143000,0.143000,55.989220,9.010818,0.214500,5.000000,1,0,4,0,1,0
0.144000,0.144000,55.989094,9.010993,0.216000,5.000000,1,0,4,0,1,0
0.145000,0.145000,55.988960,9.011165,0.217500,5.000000,1,0,4,0,1,0
0.146000,0.146000,55.988834,9.011344,0.219000,5.000000,1,0,4,0,1,0
0.147000,0.147000,55.988659,9.011479,0.220500,5.000000,1,0,4,0,1,0
0.148000,0.148000,55.988518,9.011649,0.222000,5.000000,1,0,4,0,1,0
0.149000,0.149000,55.988373,9.011818,0.223500,5.000000,1,0,4,0,1,0
0.150000,0.150000,55.988239,9.012000,0.225000,5.000000,1,0,4,0,1,0
0.151000,0.151000,55.988068,9.012149,0.226500,5.000000,1,0,4,0,1,0
0.152000,0.152000,55.987946,9.012342,0.228000,5.000000,1,0,4,0,1,0
0.153000,0.153000,55.987797,9.012518,0.229500,5.000000,1,0,4,0,1,0
0.154000,0.154000,55.987598,9.012637,0.231000,5.000000,1,0,4,0,1,0
0.155000,0.155000,55.987476,9.012835,0.232500,5.000000,1,0,4,0,1,0
0.156000,0.156000,55.987293,9.012981,0.234000,5.000000,1,0,4,0,1,0
0.157000,0.157000,55.987137,9.013159,0.235500,5.000000,1,0,4,0,1,0
0.158000,0.158000,55.986950,9.013305,0.237000,5.000000,1,0,4,0,1,0
0.159000,0.159000,55.986774,9.013464,0.238500,5.000000,1,0,4,0,1,0
0.160000,0.160000,55.986607,9.013634,0.240000,5.000000,1,0,4,0,1,0
0.161000,0.161000,55.986435,9.013804,0.241500,5.000000,1,0,4,0,1,0
0.162000,0.162000,55.986237,9.013947,0.243000,5.000000,1,0,4,0,1,0
0.163000,0.163000,55.986076,9.014132,0.244500,5.000000,1,0,4,0,1,0
0.164000,0.164000,55.985874,9.014273,0.246000,5.000000,1,0,4,0,1,0
0.165000,0.165000,55.985668,9.014411,0.247500,5.000000,1,0,4,0,1,0
0.166000,0.166000,55.985462,9.014550,0.249000,5.000000,1,0,4,0,1,0
0.167000,0.167000,55.985245,9.014675,0.250500,5.000000,1,0,4,0,1,0
0.168000,0.168000,55.985085,9.014871,0.252000,5.000000,1,0,4,0,1,0
0.169000,0.169000,55.984955,9.015088,0.253500,5.000000,1,0,4,0,1,0
0.170000,0.170000,55.984783,9.015278,0.255000,5.000000,1,0,4,0,1,0
0.171000,0.171000,55.984619,9.015474,0.256500,5.000000,1,0,4,0,1,0
0.172000,0.172000,55.984417,9.015636,0.258000,5.000000,1,0,4,0,1,0
0.173000,0.173000,55.984238,9.015823,0.259500,5.000000,1,0,4,0,1,0
0.174000,0.174000,55.984070,9.016024,0.261000,5.000000,1,0,4,0,1,0
0.175000,0.175000,55.983871,9.016196,0.262500,5.000000,1,0,4,0,1,0
0.176000,0.176000,55.983692,9.016389,0.264000,5.000000,1,0,4,0,1,0
